Date : 2023-08-28 12:42:44
Directory : c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main
Total : 181 files,  21432 codes, 1384 comments, 6035 blanks, all 28851 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\PriceDAO.java                             | Java       |         36 |          0 |         14 |         50 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\ThemeDAO.java                             | Java       |         58 |          3 |         22 |         83 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\TourPackageDAO.java                       | Java       |        148 |          6 |         43 |        197 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\AccommodationDAO.java                     | Java       |        153 |          9 |         54 |        216 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\AddressDAO.java                           | Java       |         14 |          0 |         10 |         24 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\RestaurantDAO.java                        | Java       |        147 |          4 |         44 |        195 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\ServiceDAO.java                           | Java       |        137 |          2 |         46 |        185 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\TransportationDAO.java                    | Java       |        164 |          4 |         55 |        223 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\CustomerDAO.java                             | Java       |        101 |          5 |         28 |        134 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\OrganizerDAO.java                            | Java       |        179 |          0 |         49 |        228 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\ProviderDAO.java                             | Java       |         98 |          0 |         28 |        126 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\SuperAdminDAO.java                           | Java       |        103 |          0 |         28 |        131 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\UserDAO.java                                 | Java       |        134 |         10 |         41 |        185 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\CartItem.java                          | Java       |        137 |          0 |         48 |        185 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Destination.java                       | Java       |         72 |          0 |         22 |         94 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Order.java                             | Java       |          0 |         28 |          1 |         29 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Price.java                             | Java       |         70 |          1 |         21 |         92 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Theme.java                             | Java       |         51 |          0 |         18 |         69 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\TourPackage.java                       | Java       |        129 |          4 |         48 |        181 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\Service.java                   | Java       |         96 |         20 |         32 |        148 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceInterface.java          | Java       |         13 |          2 |          7 |         22 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceService.java            | Java       |         12 |          0 |          8 |         20 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceType.java               | Java       |         13 |          0 |          7 |         20 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Customization.java                | Java       |         65 |          0 |         23 |         88 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Layout.java                       | Java       |         51 |          0 |         18 |         69 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Subscription.java                 | Java       |         87 |          0 |         25 |        112 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\SubscriptionType.java             | Java       |          4 |          0 |          3 |          7 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Accommodation.java                 | Java       |        141 |          3 |         59 |        203 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\AccommodationType.java             | Java       |         15 |          0 |          6 |         21 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Restaurant.java                    | Java       |        126 |          1 |         45 |        172 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Transportation.java                | Java       |        153 |          0 |         54 |        207 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\TransportationType.java            | Java       |         22 |          0 |          5 |         27 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Customer.java                             | Java       |         51 |          0 |         19 |         70 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Organizer.java                            | Java       |        110 |          2 |         39 |        151 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Provider.java                             | Java       |         70 |          2 |         27 |         99 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\SuperAdmin.java                           | Java       |         48 |          0 |         17 |         65 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\User.java                                 | Java       |        145 |          0 |         44 |        189 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Address.java                              | Java       |        110 |          0 |         27 |        137 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Administration.java                       | Java       |         63 |          0 |         13 |         76 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Calendar.java                             | Java       |         31 |          0 |         14 |         45 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\CompanyInfo.java                          | Java       |         67 |          0 |         30 |         97 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\CurrencyType.java                         | Java       |         17 |          0 |          7 |         24 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\FinanceInfo.java                          | Java       |         53 |          0 |         22 |         75 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\ImageConverter.java                       | Java       |         30 |          0 |          6 |         36 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Picture.java                              | Java       |         68 |          1 |         27 |         96 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\PictureType.java                          | Java       |          4 |          0 |          3 |          7 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\AuthenticationException.java                  | Java       |          6 |          0 |          3 |          9 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\FacesMessageUtil.java                         | Java       |         11 |          0 |          5 |         16 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\ImageHelper.java                              | Java       |         20 |          1 |          9 |         30 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\ImageServlet.java                             | Java       |         10 |         17 |          2 |         29 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\LayoutConverter.java                          | Java       |         34 |          1 |         13 |         48 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\PasswordUtils.java                            | Java       |         18 |          0 |          9 |         27 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\RegistrationException.java                    | Java       |          6 |          0 |          3 |          9 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\DataSeedTest.java                                | Java       |          0 |         93 |          1 |         94 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\DataSeeder.java                                  | Java       |          0 |        189 |          0 |        189 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\JPAUtil.java                                     | Java       |         19 |          0 |          5 |         24 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\main.java                                        | Java       |          0 |        122 |          0 |        122 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\customization\StartupLayoutBean.java     | Java       |         18 |          0 |          8 |         26 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\AccommodationBean.java          | Java       |        283 |         25 |         94 |        402 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\CartBean.java                   | Java       |        446 |         55 |        141 |        642 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\CheckoutBean.java               | Java       |         75 |          2 |         25 |        102 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\DetailsBean.java                | Java       |          3 |          0 |          3 |          6 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\RestaurantBean.java             | Java       |        289 |          2 |         90 |        381 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\ServiceBean.java                | Java       |        247 |          1 |         73 |        321 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\TourPackageBean.java            | Java       |        294 |         58 |         89 |        441 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\TransportationBean.java         | Java       |        288 |          2 |         89 |        379 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\CustomerBean.java           | Java       |        115 |          1 |         37 |        153 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\LoginBean.java              | Java       |        229 |         10 |         50 |        289 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\OrganizerBean.java          | Java       |        303 |         67 |         75 |        445 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\ProviderBean.java           | Java       |        128 |          1 |         40 |        169 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\SuperAdminBean.java         | Java       |        121 |          1 |         40 |        162 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\AccommodationService.java                    | Java       |         86 |         11 |         33 |        130 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\CartService.java                             | Java       |        175 |         28 |         32 |        235 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\ICartService.java                            | Java       |         14 |          0 |         13 |         27 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\RestaurantService.java                       | Java       |         82 |         12 |         22 |        116 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\ServiceService.java                          | Java       |         54 |          0 |         15 |         69 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\TourPackageService.java                      | Java       |         57 |         33 |         22 |        112 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\TransportationService.java                   | Java       |         86 |          5 |         28 |        119 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\UserService.java                             | Java       |        227 |          9 |         79 |        315 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\CartViewModel.java                          | Java       |         52 |          0 |         18 |         70 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\LoginViewModel.java                         | Java       |          5 |          0 |          2 |          7 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\ServiceViewModel.java                       | Java       |         71 |          0 |          8 |         79 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\SubServicesViewModel.java                   | Java       |        188 |          3 |         69 |        260 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\TourPackageFormViewModel.java               | Java       |        122 |          6 |         50 |        178 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\UserViewModel.java                          | Java       |        354 |          0 |        115 |        469 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\resources\META-INF\persistence.xml                                 | XML        |         18 |          1 |          8 |         27 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\beans.xml                                           | XML        |          6 |         17 |          1 |         24 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\faces-config.xml                                    | XML        |        107 |          1 |          4 |        112 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\Subscription_template.xhtml               | HTML       |         55 |          6 |          7 |         68 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\navTemplate.xhtml                         | HTML       |        171 |          7 |         33 |        211 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\organizer_template.xhtml                  | HTML       |         70 |          6 |          7 |         83 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\provider_template.xhtml                   | HTML       |         66 |          6 |          7 |         79 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\testNav.xhtml                             | HTML       |        117 |          5 |         20 |        142 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\websiteTemplate.xhtml                     | HTML       |         55 |          1 |          5 |         61 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\web.xml                                             | XML        |         23 |          5 |          8 |         36 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\advanced.css                                  | CSS        |        158 |          8 |         37 |        203 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\basic.css                                     | CSS        |        199 |         10 |         38 |        247 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\bootstrap.min.css                             | CSS        |          1 |          6 |          0 |          7 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\checkout.css                                  | CSS        |        245 |          3 |         45 |        293 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\customer_home.css                             | CSS        |        124 |          1 |         33 |        158 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\details.css                                   | CSS        |         32 |          0 |          6 |         38 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\elite.css                                     | CSS        |        379 |         19 |         65 |        463 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\homepage.css                                  | CSS        |        192 |          0 |         35 |        227 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\listUser.css                                  | CSS        |        114 |          2 |         22 |        138 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\loginCss.css                                  | CSS        |        192 |          0 |         34 |        226 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\navTemplate.css                               | CSS        |        143 |          0 |         28 |        171 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\organizer_home.css                            | CSS        |        133 |          1 |         34 |        168 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\regForm.css                                   | CSS        |        103 |          1 |         11 |        115 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\serviceCrud.css                               | CSS        |        184 |          1 |         30 |        215 |
